name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Lovedrunk,Epik High,49,0.732,0.7040000000000001,7.0,-6.294,1.0,0.132,0.526,0.0,0.10400000000000001,0.493,89.932,250758.0,2019
Missed Connections,DOKYEOM,33,0.364,0.505,1.0,-5.824,1.0,0.0295,0.625,0.0,0.115,0.20600000000000002,133.34,236230.0,2018
With you,Yang Da Il,31,0.45299999999999996,0.455,3.0,-6.931,1.0,0.0355,0.746,0.0,0.11599999999999999,0.213,127.402,218857.0,2018
예뻤어 You Were Beautiful,DAY6,67,0.45799999999999996,0.617,5.0,-3.464,0.0,0.0331,0.0649,0.0,0.109,0.418,167.925,283160.0,2017
Dear My Star,Sondia,42,0.435,0.344,8.0,-7.38,1.0,0.031,0.889,2.4e-06,0.0707,0.244,133.35,216579.0,2020
Remember me,Gummy,57,0.43799999999999994,0.525,4.0,-4.957,1.0,0.037000000000000005,0.8009999999999999,0.0,0.183,0.245,136.952,228635.0,2019
Ending Scene,IU,63,0.38799999999999996,0.32299999999999995,5.0,-7.1579999999999995,1.0,0.0348,0.851,2.03e-06,0.14300000000000002,0.23199999999999998,118.885,249242.0,2017
Blue,BIGBANG,5,0.609,0.706,7.0,-7.275,1.0,0.0852,0.0595,0.0,0.055999999999999994,0.358,124.98899999999999,233099.0,2013
You and I (Park Bom),2NE1,3,0.66,0.784,8.0,-3.7289999999999996,1.0,0.0514,0.018000000000000002,0.0919,0.0844,0.6920000000000001,161.84,234320.0,2010
공허해 empty,WINNER,3,0.568,0.698,0.0,-6.617999999999999,1.0,0.0445,0.146,0.0,0.262,0.568,90.119,220358.0,2014
In Your Time,LEE SUHYUN,53,0.527,0.33799999999999997,11.0,-8.129,1.0,0.0365,0.871,1.55e-05,0.109,0.15,122.13799999999999,268387.0,2020
Lean on me,10cm,56,0.382,0.37200000000000005,6.0,-6.7379999999999995,1.0,0.031,0.6509999999999999,0.0,0.107,0.166,124.046,210800.0,2019
Say Goodbye,Ha Yea Song,51,0.535,0.449,7.0,-6.013999999999999,1.0,0.0272,0.845,0.0,0.126,0.301,139.724,186345.0,2019
Breath,Sam Kim,57,0.642,0.501,6.0,-6.643,1.0,0.0324,0.8370000000000001,1.8e-05,0.0914,0.298,122.973,253173.0,2020
Is You,AILEE,29,0.331,0.41600000000000004,9.0,-4.6,1.0,0.0345,0.8109999999999999,0.0,0.0884,0.297,144.539,263803.0,2018
LAST DANCE,BIGBANG,6,0.621,0.6729999999999999,1.0,-3.194,0.0,0.0606,0.467,0.0,0.32299999999999995,0.289,143.889,279719.0,2016
Goodbye,2NE1,4,0.653,0.488,1.0,-4.042,1.0,0.0328,0.32899999999999996,0.0,0.163,0.49200000000000005,151.594,231445.0,2017
You're Cold,HEIZE,54,0.555,0.55,10.0,-5.149,1.0,0.0368,0.768,0.0013800000000000002,0.12300000000000001,0.35100000000000003,78.044,234093.0,2020
In Silence,Janet Suhh,57,0.475,0.384,0.0,-9.532,0.0,0.028999999999999998,0.607,0.0,0.18600000000000003,0.235,135.638,209907.0,2020
Butterfly,BTS,70,0.44799999999999995,0.7759999999999999,6.0,-4.498,1.0,0.0571,0.0149,0.0,0.12,0.294,149.806,238862.0,2015
The Truth Untold,BTS,69,0.57,0.42200000000000004,1.0,-7.561,0.0,0.0422,0.37200000000000005,0.0,0.127,0.16899999999999998,113.007,242293.0,2018
FOOL,WINNER,2,0.649,0.601,4.0,-5.452000000000001,1.0,0.0347,0.721,0.0,0.10800000000000001,0.522,140.031,221793.0,2017
Bad Love,HYNN,39,0.573,0.419,5.0,-5.256,1.0,0.0333,0.745,0.0,0.1,0.258,129.584,212802.0,2019
Wedding Dress,TAEYANG,5,0.728,0.669,0.0,-4.73,1.0,0.0346,0.122,0.0,0.129,0.7070000000000001,133.961,242747.0,2010
COME BACK HOME,2NE1,5,0.585,0.84,0.0,-3.3489999999999998,0.0,0.0957,0.155,0.0,0.638,0.149,149.855,229627.0,2014
Circus,TAEYEON,48,0.75,0.473,1.0,-6.906000000000001,1.0,0.0427,0.669,0.0,0.10300000000000001,0.337,108.016,234027.0,2018
"雪の華 / JISOO - LIVE BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",BLACKPINK,52,0.267,0.312,8.0,-11.950999999999999,1.0,0.0314,0.456,0.0,0.31,0.327,142.572,339200.0,2019
I Don't Love You,Urban Zakapa,57,0.35,0.348,4.0,-6.156000000000001,1.0,0.0317,0.805,4.48e-06,0.102,0.27399999999999997,146.60299999999998,254925.0,2016
To My Youth,BOL4,12,0.42200000000000004,0.561,9.0,-4.62,1.0,0.0561,0.6859999999999999,0.0,0.292,0.43799999999999994,173.483,222680.0,2017
"You, Clouds, Rain",HEIZE,32,0.509,0.502,1.0,-6.972,0.0,0.092,0.765,0.0,0.396,0.341,79.16,205312.0,2017
sorry,The Rose,41,0.379,0.631,10.0,-4.7010000000000005,1.0,0.0339,0.462,0.0,0.305,0.359,173.896,215475.0,2018
Evening sky,AILEE,44,0.596,0.611,10.0,-3.505,1.0,0.0288,0.665,0.0,0.141,0.214,128.97299999999998,233927.0,2012
I Think It’s Love,TAEMIN,45,0.377,0.617,5.0,-5.142,1.0,0.0358,0.565,0.0,0.0927,0.37,169.787,214787.0,2020
lost child,IU,33,0.588,0.843,11.0,-2.855,1.0,0.0394,0.501,0.0,0.138,0.183,123.914,222459.0,2009
Don’T Look At Me Like That,Song Ji Eun,42,0.419,0.653,8.0,-3.3819999999999997,0.0,0.0332,0.0612,9.47e-06,0.0466,0.38,165.921,195605.0,2014
The Only One,SOYOU,52,0.336,0.309,11.0,-9.122,1.0,0.031,0.846,0.0,0.11699999999999999,0.174,133.358,242827.0,2020
Here We Are,Jooyoung,49,0.473,0.498,6.0,-6.96,1.0,0.0271,0.713,0.0,0.127,0.161,137.957,244451.0,2020
SOFA,Crush,28,0.514,0.5429999999999999,10.0,-5.129,0.0,0.0324,0.642,0.0,0.0923,0.29,120.006,229573.0,2014
No One But You - Intro,HEIZE,3,0.39,0.29600000000000004,0.0,-6.479,0.0,0.0402,0.929,0.0,0.10300000000000001,0.384,81.307,73080.0,2016
Stay Here,Gaho,57,0.41100000000000003,0.33799999999999997,1.0,-7.537999999999999,1.0,0.0291,0.639,0.0,0.207,0.32799999999999996,135.931,228616.0,2018
Only you don't know (Samsung New Retro Series),Gaho,41,0.499,0.37200000000000005,2.0,-6.294,1.0,0.0359,0.8390000000000001,0.0,0.124,0.305,169.945,245960.0,2020
Hard To Love 나만 안되는 연애,BOL4,49,0.526,0.609,0.0,-5.196000000000001,0.0,0.0432,0.925,1.1900000000000001e-05,0.1,0.375,68.517,219482.0,2016
If,TAEYEON,52,0.5379999999999999,0.34600000000000003,9.0,-7.127000000000001,1.0,0.0294,0.8270000000000001,0.0,0.0973,0.266,145.714,265613.0,2008
7월 7일 One Of These Nights,Red Velvet,52,0.436,0.509,6.0,-5.1610000000000005,0.0,0.0345,0.475,0.0,0.10099999999999999,0.11,133.653,261942.0,2016
LONELY,SISTAR,51,0.445,0.8190000000000001,7.0,-3.324,0.0,0.0587,0.20600000000000002,0.0,0.42200000000000004,0.643,169.577,207932.0,2017
