danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.508,0.545,11,-6.425,1,0.037,0.58,0.0,0.361,0.233,129.183,audio_features,59OFG0mm09ve4i3RcbmdwB,spotify:track:59OFG0mm09ve4i3RcbmdwB,https://api.spotify.com/v1/tracks/59OFG0mm09ve4i3RcbmdwB,https://api.spotify.com/v1/audio-analysis/59OFG0mm09ve4i3RcbmdwB,192430,4
0.479,0.292,8,-8.161,1,0.031,0.894,0.0,0.121,0.206,131.855,audio_features,27srzsrTPJ2KiABGZ0rP5a,spotify:track:27srzsrTPJ2KiABGZ0rP5a,https://api.spotify.com/v1/tracks/27srzsrTPJ2KiABGZ0rP5a,https://api.spotify.com/v1/audio-analysis/27srzsrTPJ2KiABGZ0rP5a,216735,4
0.344,0.43,8,-5.503,1,0.0434,0.683,0.0,0.0881,0.385,167.332,audio_features,6dGsBRuavumBs5BghcXF3D,spotify:track:6dGsBRuavumBs5BghcXF3D,https://api.spotify.com/v1/tracks/6dGsBRuavumBs5BghcXF3D,https://api.spotify.com/v1/audio-analysis/6dGsBRuavumBs5BghcXF3D,280360,3
0.498,0.454,8,-8.072,0,0.0396,0.71,0.0,0.111,0.228,135.211,audio_features,3zOwzIIyKYZPdRmi0MIapT,spotify:track:3zOwzIIyKYZPdRmi0MIapT,https://api.spotify.com/v1/tracks/3zOwzIIyKYZPdRmi0MIapT,https://api.spotify.com/v1/audio-analysis/3zOwzIIyKYZPdRmi0MIapT,231555,4
0.387,0.515,2,-5.529,1,0.0338,0.686,0.0,0.16,0.199,135.221,audio_features,5i6gHFXg4aLK5xvc2jJJC5,spotify:track:5i6gHFXg4aLK5xvc2jJJC5,https://api.spotify.com/v1/tracks/5i6gHFXg4aLK5xvc2jJJC5,https://api.spotify.com/v1/audio-analysis/5i6gHFXg4aLK5xvc2jJJC5,272847,4
0.416,0.43,1,-6.117,1,0.0399,0.591,0.0,0.349,0.151,133.063,audio_features,6ylw0U4J3RFj0NoVCMZj93,spotify:track:6ylw0U4J3RFj0NoVCMZj93,https://api.spotify.com/v1/tracks/6ylw0U4J3RFj0NoVCMZj93,https://api.spotify.com/v1/audio-analysis/6ylw0U4J3RFj0NoVCMZj93,199391,4
0.465,0.825,7,-2.911,1,0.096,0.64,0.0,0.13,0.398,89.777,audio_features,7nhdz5V0wEnvskcmZodhJk,spotify:track:7nhdz5V0wEnvskcmZodhJk,https://api.spotify.com/v1/tracks/7nhdz5V0wEnvskcmZodhJk,https://api.spotify.com/v1/audio-analysis/7nhdz5V0wEnvskcmZodhJk,211827,4
0.687,0.914,6,-5.02,1,0.0437,0.166,0.0,0.0858,0.675,126.001,audio_features,0qQBuGsT79rKtmmfC0V38x,spotify:track:0qQBuGsT79rKtmmfC0V38x,https://api.spotify.com/v1/tracks/0qQBuGsT79rKtmmfC0V38x,https://api.spotify.com/v1/audio-analysis/0qQBuGsT79rKtmmfC0V38x,256360,4
0.571,0.465,3,-4.529,1,0.0373,0.332,0.0,0.377,0.335,75.191,audio_features,2EW9rQg1vCxeRMVpNhl4YO,spotify:track:2EW9rQg1vCxeRMVpNhl4YO,https://api.spotify.com/v1/tracks/2EW9rQg1vCxeRMVpNhl4YO,https://api.spotify.com/v1/audio-analysis/2EW9rQg1vCxeRMVpNhl4YO,193700,4
0.683,0.908,7,-4.322,0,0.231,0.136,0.0,0.08,0.378,89.934,audio_features,4P9K00Tn5xOfXc5AIHvD3I,spotify:track:4P9K00Tn5xOfXc5AIHvD3I,https://api.spotify.com/v1/tracks/4P9K00Tn5xOfXc5AIHvD3I,https://api.spotify.com/v1/audio-analysis/4P9K00Tn5xOfXc5AIHvD3I,282480,4
