name
晴天
零
寶貝 (In a Day)
雨愛
掉了
Love Song
倒帶
說愛你
你被寫在我的歌裡
珊瑚海
我愛的人
香草吧噗
分生
A.I.N.Y.
一秒的安慰
那女孩對我說
匿名的寶貝
顯微鏡下的愛情
心跳
七里香
大城小愛
公主病
陽光宅男
下雨天
匿名的好友
很旅行的愛情
永遠在身邊
雙人舞
彩虹
唯一
藉口
忍不住原諒 (Tolerance)
龍捲風
星晴
Fan Fong Xiang De Chong
黑色幽默
擱淺
止戰之殤
Forever Love
你是我心內的一首歌
流星雨
帶我走
有你的快樂
情非得已
可愛女人
屋頂
曖昧
太煩惱
遇上愛
檸檬草的味道
天空
就是愛
二人遊
星期六的深夜
Everything
另一個天堂
春雨裡洗過的太陽
落葉歸根
我們的歌
You Exist In My Song
淘汰
愛情轉移(國)
My Love My Fate
What Do Men Believe
Even Though There Is No Fairy Tale In The World
春泥
靜靜的
一首簡單的歌
我的秘密 Mysecret
夢想啟動
哪裡都是你
愛你沒差
明明就
傻笑
關於我愛你
兒歌
喜歡
100種生活
我愛你 (I Love You)
我愛你
慢靈魂 (Slow Soul)
好想要揮霍
獨家記憶
難朋友(國)
他夏了夏天
蟬想
交響夢
那些年
愛都是對的
愛夏
燃點
傷心童話
我沒有
不敢哭
碎片
悄悄告訴她
再見 小時候
離家不遠
小時候
牡丹江
笑著流淚
獨一無二
我全都相信 (I Believe It All)
Ru Guo Zhe Jiu Shi Ai Qing
Wo Men Dou Gu Fu Le Ai
出乎意料
如果沒有明天
非我不可
也許
彩虹天堂
崩裂前聲嘶力竭
偏愛
黑裙子
讓我照顧你
好心分手
一念之間 (A Flash of Thought)
原諒我就是這樣的女生 (That's Me)
小乖乖
我想要說
我可以
2人
喇舌
國王皇后
巴冷公主 (Princess Palen)
我是一個瘦瘦的男生
王寶釧苦守寒窯十八年
陪你到世界的終結 (Till the End)
胡鬧 (Mischievousness)
因為你是女人 (Because You Are Woman)
全部都給你 - Feat.鍾欣桐 (All for You)
不屑紀念 (Despise Memorising)
殘廢 (Cripple)
誰 (Who)
牽牽牽手 (Hand in Hand)
越愛越難過 (The More Love the More Sorrow)
傻瓜 (Fool)
沒關係 (It's Alright)
放棄你 (Give Up You)
我全都相信 (I Believe It All)
破心髒 (Broken Heart)
我不想知道她是誰
親愛的是我
哭過就好了
滿滿
對味 (Right Taste)
拋物線 (Projectile)
當你離開的時候 (When You Leave Me)
勇氣 (Courage)
約定 (Commitment)
不得不愛 (Can't Stop Love)
沿海地帶 (Coast City)
暗示 (Implication)
壞人 (Bad Guy)
風 (Wind)
你不必愛我 (You Don't Have to Love Me)
遺憾 (Regret)
說了再見
想太多
我會好好過
圍牆
"不,完美"
死結
女爵 (Baroness)
來不及說再見 (No Time to Say Goodbye)
那不是雪中紅
一千零一夜
泡沫
放棄你 (Give Up You)
安靜
寂屋出租
不能說的秘密
軌跡
因為愛情
喜歡寂寞
你不知道的事
改變自己
花田錯
我們都傻
她的睫毛
一路向北
聽媽媽的話
不具名的悲傷
射手
天機
Marry Me
以愛之名
忘不記
填空
麥田捕手
是什麼讓我遇見這樣的你
雨眠
終結孤單
倔強
孫悟空
牙關
擁抱
志明與春嬌
人生海海
恒星的恒心
約翰藍儂
溫柔 [還你自由版]
知足
戀愛Ing
垃圾車(朋友版)
如果有一天
可惜不是你
分手快樂(獨唱版)
寧夏
慢慢等(全新編曲)
因為愛
有沒有
有人在等我
她說
愛笑的眼睛
當你
小酒窩
期待你的愛
Always Online
不潮不用花錢
사랑해요只對你說
不死之身
原來
波間帶
修煉愛情
黑暗騎士 - feat. 五月天
零度的親吻
江南
學不會
Love U U
第幾個100天
背對背擁抱
星月神話
被風吹過的夏天
聽不到
仰望
可愛
瘦瘦的
心醉心碎
還是愛著你
還是會
旋轉門
踮起腳尖愛
現在開始
翅膀
我不會喜歡你
心牆
心牆
陪著我的時候想著她
別去問他好嗎
單身美好
回憶的閣樓
離開
往未來飛的客機
又是艷陽天
聊天
嫁妝
愛你
Never Change
一個人生活(幸福蛻變版)
重傷
五天幾年
這樣愛你好可怕
痛癢
好朋友只是朋友
微加幸福
"寂寞,好了"
暗戀 (Secret Love)
你看不到的天空
月亮代表誰的心
二十二
愛 很簡單
天后
勢在必行
心.洞
轉身之後
你那麼愛她
手放開
眼底星空
遠走高飛
最近
關於你的歌
我以為
真實 (Real)
寂寞先生
背叛
世界唯一的你
梁山伯與茱麗葉
Superwoman
兩隻戀人
童話
六十億分之一
搞砸了
地球上最浪漫的一首歌
不屑
鬼混
禦守之心
漩渦
說謊
思念是一種病
愛我別走
分手吧
路口
就讓這首歌
只是朋友
自由
我愛台妹
差不多先生
我行我素
兩敗俱傷
哭笑不得
愛愛愛
還不能哭
傷痕 (Scar)
靠岸
心中無別人
憨人
溫柔
瘋狂世界
借問眾神明
不是故意
一樣愛著你
帶我離開
愛上你
看不見
我知道
Don't Go Away
愛丫愛丫
119
結果咧
十年
K歌之王
K歌之王
微笑的起點
明白
黑白配
一個像夏天一個像秋天
歐若拉
親愛的那不是愛情
能不能勇敢說愛
不想懂得
隠形的翅膀
口袋的天空
愛情旅程
真的
遺失的美好
藍眼睛
如果的事
看得最遠的地方
白白的
傷日快樂
吶喊
我懷念的
逆光
天黑黑 (Dark Sky)
4Chords
再見王子 (Goodbye Prince)
女孩 (Girl)
簡單 (Simple)
