danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.928,0.482,0,-5.499,1,0.195,0.439,1.13e-06,0.0422,0.667,139.96,audio_features,79xFFmGKtEyky0I2G9U9Jg,spotify:track:79xFFmGKtEyky0I2G9U9Jg,https://api.spotify.com/v1/tracks/79xFFmGKtEyky0I2G9U9Jg,https://api.spotify.com/v1/audio-analysis/79xFFmGKtEyky0I2G9U9Jg,190286,4
0.564,0.556,1,-6.273,1,0.0324,0.346,0.0,0.12,0.354,129.978,audio_features,6MS9ShggpMO7lQMSQz3JhZ,spotify:track:6MS9ShggpMO7lQMSQz3JhZ,https://api.spotify.com/v1/tracks/6MS9ShggpMO7lQMSQz3JhZ,https://api.spotify.com/v1/audio-analysis/6MS9ShggpMO7lQMSQz3JhZ,269677,4
0.729,0.618,2,-7.546,1,0.316,0.432,2.65e-05,0.268,0.345,89.234,audio_features,7AS3f6iaLQ4NZCMZKuhWmy,spotify:track:7AS3f6iaLQ4NZCMZKuhWmy,https://api.spotify.com/v1/tracks/7AS3f6iaLQ4NZCMZKuhWmy,https://api.spotify.com/v1/audio-analysis/7AS3f6iaLQ4NZCMZKuhWmy,200000,4
0.948,0.538,0,-7.333,1,0.196,0.168,2.01e-05,0.137,0.23,101.002,audio_features,0fQwc4J9fPyRac81VOtAC3,spotify:track:0fQwc4J9fPyRac81VOtAC3,https://api.spotify.com/v1/tracks/0fQwc4J9fPyRac81VOtAC3,https://api.spotify.com/v1/audio-analysis/0fQwc4J9fPyRac81VOtAC3,193475,4
0.797,0.45,9,-8.311,0,0.036,0.348,5.49e-06,0.0908,0.617,130.076,audio_features,7ho5xWwyYi7KJzJxyM1sPJ,spotify:track:7ho5xWwyYi7KJzJxyM1sPJ,https://api.spotify.com/v1/tracks/7ho5xWwyYi7KJzJxyM1sPJ,https://api.spotify.com/v1/audio-analysis/7ho5xWwyYi7KJzJxyM1sPJ,273807,4
0.575,0.8,11,-5.666,0,0.0424,0.156,2.98e-05,0.144,0.274,132.185,audio_features,3uleTxQcw8XsMg55LdJVpA,spotify:track:3uleTxQcw8XsMg55LdJVpA,https://api.spotify.com/v1/tracks/3uleTxQcw8XsMg55LdJVpA,https://api.spotify.com/v1/audio-analysis/3uleTxQcw8XsMg55LdJVpA,294208,4
0.633,0.793,5,-7.075,1,0.0395,0.0921,0.0,0.0768,0.591,104.97,audio_features,31Rxc3kfQjI7WpaRKskQs2,spotify:track:31Rxc3kfQjI7WpaRKskQs2,https://api.spotify.com/v1/tracks/31Rxc3kfQjI7WpaRKskQs2,https://api.spotify.com/v1/audio-analysis/31Rxc3kfQjI7WpaRKskQs2,237714,4
0.758,0.884,6,-5.546,1,0.0801,0.295,1.85e-06,0.0732,0.678,130.0,audio_features,1MvLjpqiDwi0ATGLMR3Zm8,spotify:track:1MvLjpqiDwi0ATGLMR3Zm8,https://api.spotify.com/v1/tracks/1MvLjpqiDwi0ATGLMR3Zm8,https://api.spotify.com/v1/audio-analysis/1MvLjpqiDwi0ATGLMR3Zm8,210462,4
0.696,0.586,11,-9.015,0,0.0368,0.0107,0.000653,0.0907,0.498,115.082,audio_features,7t5iTNgwdcqMB76Dl2UUDO,spotify:track:7t5iTNgwdcqMB76Dl2UUDO,https://api.spotify.com/v1/tracks/7t5iTNgwdcqMB76Dl2UUDO,https://api.spotify.com/v1/audio-analysis/7t5iTNgwdcqMB76Dl2UUDO,244174,4
0.681,0.578,3,-7.918,1,0.0537,0.732,0.0,0.104,0.382,95.037,audio_features,5U30iZBlmxkpHqzb1OSnBS,spotify:track:5U30iZBlmxkpHqzb1OSnBS,https://api.spotify.com/v1/tracks/5U30iZBlmxkpHqzb1OSnBS,https://api.spotify.com/v1/audio-analysis/5U30iZBlmxkpHqzb1OSnBS,240000,4
